"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Embercleave","R","M","291","","172","","892","86.9%","58.0%","165","","190","","355","","535","54.4%",""
"Empyrean Eagle","WU","U","20638","4.46","4742","5.18","18458","66.1%","57.8%","3237","59.7%","4890","61.3%","8127","60.6%","10317","55.4%","5.2pp"
"Cat Collector","W","U","14334","2.89","5352","3.20","28047","88.8%","57.7%","4936","58.4%","6754","61.2%","11690","60.0%","16371","56.1%","3.9pp"
"Celestial Armor","W","R","3798","1.86","2303","1.82","12322","90.0%","57.7%","2056","61.3%","3054","64.0%","5110","62.9%","7201","54.0%","9.0pp"
"Liliana, Dreadhorde General","B","M","1271","1.27","1042","1.26","5872","92.1%","57.6%","965","62.0%","1567","65.4%","2532","64.1%","3291","52.4%","11.7pp"
"Arahbo, the First Fang","W","R","3847","1.89","2133","1.84","11291","88.2%","57.5%","2096","62.7%","2757","61.1%","4853","61.8%","6383","54.2%","7.6pp"
"Giada, Font of Hope","W","R","4281","2.02","2119","2.02","11164","89.8%","57.4%","2075","64.6%","2642","58.7%","4717","61.3%","6429","54.5%","6.9pp"
"Vampire Gourmand","B","U","19835","3.82","6184","4.41","32712","88.5%","57.4%","5828","60.3%","8183","60.0%","14011","60.1%","18684","55.3%","4.8pp"
"Dreadwing Scavenger","UB","U","22970","4.71","5711","5.53","23376","69.6%","57.3%","4161","62.0%","6871","62.9%","11032","62.6%","12345","52.5%","10.1pp"
"Sun-Blessed Healer","W","U","13590","2.67","5495","3.01","29913","90.9%","57.3%","5219","59.0%","7237","59.5%","12456","59.3%","17454","55.8%","3.4pp"
"Mischievous Mystic","U","U","14858","2.96","6027","3.26","32421","90.4%","57.2%","5897","61.7%","9102","59.6%","14999","60.4%","17380","54.4%","6.0pp"
"Leyline Axe","","R","4356","2.19","1718","2.20","8968","89.1%","57.2%","1689","68.0%","2172","57.0%","3861","61.8%","5096","53.6%","8.2pp"
"Helpful Hunter","W","C","53499","3.89","13665","4.98","73270","90.1%","57.1%","13298","58.3%","17311","58.1%","30609","58.2%","42363","56.3%","1.9pp"
"Dazzling Angel","W","C","49099","3.67","11252","4.64","60382","90.7%","57.1%","10716","59.5%","14574","58.1%","25290","58.7%","34966","55.9%","2.8pp"
"Exemplar of Light","W","R","3335","1.62","2038","1.61","10770","89.7%","57.1%","1786","58.5%","2738","61.7%","4524","60.4%","6285","54.7%","5.7pp"
"Searslicer Goblin","R","R","4548","2.20","2268","2.19","12006","88.6%","57.1%","2157","63.6%","2655","58.5%","4812","60.8%","7189","54.6%","6.2pp"
"Curator of Destinies","U","R","4236","2.01","2451","2.03","12651","88.2%","57.1%","2101","58.7%","3608","63.6%","5709","61.8%","6919","53.1%","8.7pp"
"Felidar Savior","W","C","53640","3.99","12214","5.13","63697","87.7%","57.0%","10625","57.4%","15157","58.3%","25782","58.0%","37735","56.3%","1.7pp"
"Bloodthirsty Conqueror","B","M","1385","1.36","1041","1.32","5489","89.0%","57.0%","921","61.2%","1523","65.5%","2444","63.9%","3022","50.9%","13.0pp"
"Micromancer","U","U","25168","5.11","6466","6.06","23705","62.9%","57.0%","4036","57.8%","6567","60.5%","10603","59.5%","13057","54.9%","4.5pp"
"Skyknight Squire","W","R","3475","1.67","2113","1.67","11321","90.3%","56.9%","2110","63.6%","2685","56.3%","4795","59.5%","6504","55.0%","4.6pp"
"Battlesong Berserker","R","U","22803","4.52","5055","5.51","22939","76.8%","56.9%","3880","58.1%","5030","59.0%","8910","58.6%","14085","55.7%","2.9pp"
"Ajani, Caller of the Pride","W","M","1452","1.38","969","1.36","5171","89.5%","56.8%","892","59.0%","1210","58.0%","2102","58.4%","3060","55.7%","2.7pp"
"Scavenging Ooze","G","R","3999","1.93","1915","1.95","9796","85.9%","56.8%","1809","62.4%","2325","61.8%","4134","62.1%","5653","52.9%","9.2pp"
