Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IWD
Acrobatic Cheerleader,W,C,354946,5.27,50314,7.52,212878,69.80%,54.20%,38567,54.30%,45655,52.60%,84222,53.40%,128307,54.70%,-1.4pp
Cult Healer,W,C,393467,6.29,46426,9.31,119088,42.50%,53.60%,20378,52.80%,28173,53.30%,48551,53.10%,70538,54.00%,-0.9pp
Dazzling Theater // Prop Room,W,R,50245,4.67,5598,7.19,6344,19.40%,45.00%,1024,36.90%,1439,41.30%,2463,39.50%,3870,48.40%,-8.9pp
Dollmaker's Shop // Porcelain Gallery,W,M,6988,1.4,5238,1.37,29589,90.70%,56.80%,5343,63.20%,7114,62.10%,12457,62.60%,17127,52.60%,9.9pp
Emerge from the Cocoon,W,C,389543,6.38,46383,9.33,101540,36.80%,51.80%,15876,50.40%,26123,56.40%,41999,54.10%,58864,50.00%,4.1pp
Enduring Innocence,W,R,16212,1.59,9999,1.58,55587,90.20%,56.70%,9816,61.40%,13131,58.90%,22947,60.00%,32682,54.30%,5.7pp
Ethereal Armor,W,U,90903,3.4,21745,4.15,107469,80.90%,55.70%,17437,56.10%,26077,58.60%,43514,57.60%,63940,54.40%,3.2pp
Exorcise,W,U,81116,2.96,22126,3.61,119045,88.50%,55.30%,19834,55.30%,28473,57.60%,48307,56.70%,70639,54.30%,2.4pp
Fear of Abduction,W,U,88055,3.28,21472,4.02,106694,81.70%,54.80%,16149,53.70%,26010,57.90%,42159,56.20%,64665,53.80%,2.5pp
Fear of Immobility,W,C,377742,5.73,52042,8.31,190915,60.40%,54.80%,29282,52.80%,46307,56.30%,75589,54.90%,115335,54.70%,0.3pp
Fear of Surveillance,W,C,295171,4.14,56419,5.67,310172,90.30%,55.40%,56217,56.10%,71032,54.80%,127249,55.40%,182629,55.30%,0.1pp
Friendly Ghost,W,C,390297,6.14,51803,8.87,169114,53.70%,55.00%,26678,54.30%,38804,56.30%,65482,55.50%,103454,54.60%,0.8pp
Ghostly Dancers,W,R,14842,1.45,10825,1.42,62143,91.10%,57.60%,10460,62.50%,15939,65.70%,26399,64.40%,35732,52.50%,11.9pp
Glimmer Seeker,W,U,79182,2.93,21654,3.55,118122,88.70%,55.80%,20454,58.60%,27528,55.90%,47982,57.10%,70203,54.90%,2.1pp
Grand Entryway // Elegant Rotunda,W,C,301554,4.13,56798,5.6,287488,83.80%,54.80%,50653,52.80%,67956,55.80%,118609,54.50%,168543,55.00%,-0.5pp
Hardened Escort,W,C,383309,6.03,44193,8.98,136710,51.00%,54.20%,23201,54.30%,29764,53.30%,52965,53.80%,83514,54.40%,-0.6pp
Jump Scare,W,C,401816,6.52,55324,9.27,163472,48.60%,55.40%,25329,54.40%,36225,56.10%,61554,55.40%,101902,55.50%,-0.1pp
Leyline of Hope,W,R,66877,5.95,7590,9.4,603,1.30%,40.60%,0,,125,,125,,477,,
Lionheart Glimmer,W,U,93303,3.44,19798,4.38,100005,83.60%,54.80%,15288,54.40%,23645,56.30%,38933,55.60%,60944,54.20%,1.3pp
Living Phone,W,C,419100,7.37,46479,10.8,57764,20.60%,53.20%,9814,50.40%,12679,52.00%,22493,51.30%,35130,54.30%,-3.1pp
Optimistic Scavenger,W,U,68137,2.57,26931,2.79,144191,86.40%,57.10%,25719,64.80%,34271,57.60%,59990,60.70%,84090,54.60%,6.1pp
Orphans of the Wheat,W,U,117548,4.35,19249,5.87,83223,71.40%,54.10%,14888,54.70%,17891,51.90%,32779,53.10%,50255,54.60%,-1.4pp
Overlord of the Mistmoors,W,M,6229,1.21,5246,1.19,31574,93.30%,58.90%,5495,68.00%,7792,68.10%,13287,68.00%,18269,52.20%,15.8pp
Patched Plaything,W,U,104215,3.82,22135,4.89,108378,80.90%,54.60%,18851,53.90%,24582,54.10%,43433,54.00%,65048,54.90%,-0.9pp
Possessed Goat,W,C,405352,6.93,41189,10.4,63522,25.90%,51.60%,11460,52.90%,14618,51.30%,26078,52.00%,37295,51.30%,0.7pp
Reluctant Role Model,W,R,19036,1.83,9460,1.86,51327,89.40%,55.40%,9463,59.70%,11842,54.40%,21305,56.70%,29971,54.40%,2.3pp
Savior of the Small,W,U,114593,4.28,15325,5.99,58974,64.90%,52.10%,9599,49.70%,13482,51.60%,23081,50.80%,35887,52.80%,-2.0pp
Seized from Slumber,W,C,322606,4.64,46712,6.7,211033,74.40%,54.70%,34823,53.80%,51045,57.70%,85868,56.10%,124938,53.60%,2.5pp
Shardmage's Rescue,W,U,93906,3.41,23645,4.2,122083,85.10%,55.40%,19447,56.30%,28842,56.60%,48289,56.50%,73741,54.60%,1.9pp
Sheltered by Ghosts,W,U,53086,2.08,25547,2.26,145255,91.50%,57.00%,24481,60.00%,34829,62.90%,59310,61.70%,85876,53.70%,8.0pp
Shepherding Spirits,W,C,397576,6.27,43980,9.47,114646,43.50%,52.30%,19417,49.40%,27670,53.70%,47087,51.90%,67519,52.60%,-0.6pp
Split Up,W,R,22480,2.11,8449,2.22,42880,84.00%,54.90%,7247,56.00%,10226,58.90%,17473,57.70%,25338,52.90%,4.8pp
Splitskin Doll,W,U,83516,3.07,27124,3.61,151242,89.70%,57.00%,27426,58.70%,34681,59.00%,62107,58.90%,88782,55.60%,3.2pp
Surgical Suite // Hospital Room,W,U,71632,2.69,22399,3.17,120245,87.90%,55.50%,19807,55.50%,28685,58.50%,48492,57.30%,71538,54.30%,3.0pp
