"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Celestial Armor","W","R","0","","0","","2007","70.1%","61.3%","334","","485","","819","67.4%","1181","57.0%","10.4pp"
"Herald of Eternal Dawn","W","M","0","","0","","942","63.5%","59.7%","166","","220","","386","","544","59.7%",""
"Day of Judgment","W","R","0","","0","","1603","61.5%","59.1%","262","","384","","646","61.3%","950","57.5%","3.8pp"
"Liliana, Dreadhorde General","B","M","0","","0","","1063","84.6%","59.0%","165","","274","","439","","607","53.2%",""
"Sun-Blessed Healer","W","U","0","","0","","3347","58.1%","58.5%","597","63.1%","790","59.2%","1387","60.9%","1958","56.8%","4.1pp"
"Leyline Axe","","R","0","","0","","2138","71.1%","58.5%","407","","480","","887","63.4%","1244","54.7%","8.6pp"
"Cat Collector","W","U","0","","0","","3003","53.2%","58.1%","523","60.8%","716","57.8%","1239","59.1%","1764","57.5%","1.6pp"
"Resolute Reinforcements","W","U","0","","0","","2598","48.1%","58.0%","429","","643","56.3%","1072","57.3%","1509","58.5%","-1.2pp"
"Giada, Font of Hope","W","R","0","","0","","1658","63.5%","58.0%","309","","403","","712","61.2%","937","55.4%","5.8pp"
"Joust Through","W","U","0","","0","","2755","49.1%","57.9%","484","","634","56.8%","1118","57.0%","1630","58.7%","-1.7pp"
"Luminous Rebuke","W","C","0","","0","","6704","49.9%","57.9%","1161","60.6%","1630","58.9%","2791","59.6%","3908","56.7%","2.9pp"
"Exemplar of Light","W","R","0","","0","","2117","77.7%","57.9%","362","","534","58.1%","896","60.4%","1230","56.2%","4.2pp"
"Helpful Hunter","W","C","0","","0","","7265","53.6%","57.8%","1278","61.3%","1782","58.1%","3060","59.4%","4170","56.5%","2.9pp"
"Youthful Valkyrie","W","U","0","","0","","2107","39.0%","57.6%","368","","512","57.0%","880","58.0%","1219","57.3%","0.6pp"
"Dazzling Angel","W","C","0","","0","","7308","51.5%","57.6%","1309","58.4%","1774","59.3%","3083","58.9%","4210","56.7%","2.3pp"
"Skyknight Squire","W","R","0","","0","","1885","73.3%","57.6%","327","","425","","752","62.2%","1125","54.3%","7.9pp"
"Felidar Savior","W","C","0","","0","","7111","52.9%","57.5%","1194","56.5%","1733","59.1%","2927","58.1%","4148","57.1%","1.0pp"
"Fiery Annihilation","R","U","0","","0","","2469","44.1%","57.4%","423","","549","59.7%","972","59.9%","1489","55.7%","4.1pp"
"Banishing Light","W","C","0","","0","","8499","59.6%","57.1%","1464","54.5%","2050","60.9%","3514","58.2%","4976","56.4%","1.8pp"
"Elenda, Saint of Dusk","WB","R","0","","0","","1631","64.9%","57.1%","252","","428","","680","61.6%","947","54.0%","7.7pp"
"Vivien Reid","G","M","0","","0","","1028","73.8%","57.1%","169","","244","","413","","613","55.5%",""
"Wind-Scarred Crag","","C","0","","0","","1634","24.0%","57.1%","293","","364","","657","55.3%","975","58.4%","-3.1pp"
"Sylvan Scavenging","G","R","0","","0","","1846","69.6%","57.0%","343","","423","","766","62.8%","1077","52.8%","10.0pp"
"Cathar Commando","W","C","0","","0","","6260","46.2%","56.8%","1146","58.5%","1406","56.8%","2552","57.6%","3702","56.3%","1.3pp"
"Vanguard Seraph","W","C","0","","0","","4324","31.6%","56.8%","739","53.9%","1034","57.6%","1773","56.1%","2556","57.2%","-1.2pp"
"Empyrean Eagle","WU","U","0","","0","","1150","20.7%","56.8%","193","","304","","497","","642","54.8%",""
"Squad Rallier","W","C","0","","0","","2614","18.9%","56.8%","423","","590","55.8%","1013","55.9%","1605","57.4%","-1.5pp"
"Healer's Hawk","W","C","0","","0","","7113","51.0%","56.6%","1296","60.6%","1663","55.7%","2959","57.9%","4132","55.6%","2.2pp"
"Tranquil Cove","","C","0","","0","","1803","24.5%","56.6%","309","","453","","762","57.0%","1039","56.2%","0.7pp"
"Searslicer Goblin","R","R","0","","0","","1349","52.9%","56.5%","245","","296","","541","58.8%","808","54.8%","4.0pp"
"Zimone, Paradox Sculptor","UG","M","0","","0","","1127","71.1%","56.4%","211","","291","","502","63.9%","623","50.2%","13.7pp"
"Angel of Finality","W","U","0","","0","","2294","45.0%","56.4%","381","","591","59.9%","972","57.3%","1326","55.7%","1.6pp"
"Felling Blow","G","U","0","","0","","3052","52.6%","56.4%","511","59.1%","741","62.5%","1252","61.1%","1799","53.0%","8.1pp"
"Anthem of Champions","WG","R","0","","0","","1367","49.2%","56.3%","233","","316","","549","58.5%","818","54.9%","3.6pp"
"Infernal Vessel","B","U","0","","0","","2437","43.5%","56.3%","414","","609","60.9%","1023","59.0%","1417","54.5%","4.6pp"
"Kellan, Planar Trailblazer","R","R","0","","0","","1229","46.9%","56.2%","228","","293","","521","55.7%","707","56.6%","-0.9pp"
"Ajani, Caller of the Pride","W","M","0","","0","","1045","78.1%","56.2%","176","","255","","431","","613","55.8%",""
"Preposterous Proportions","G","R","0","","0","","959","36.2%","56.1%","149","","239","","388","","568","53.3%",""
"Serra Angel","W","U","0","","0","","2457","46.4%","56.1%","388","","646","53.1%","1034","54.6%","1430","57.0%","-2.4pp"
"Divine Resilience","W","U","0","","0","","1127","19.9%","56.1%","177","","273","","450","","669","56.1%",""
"Fiendish Panda","WB","U","0","","0","","1859","32.8%","56.1%","326","","448","","774","57.0%","1081","55.2%","1.8pp"
"Bloodthirsty Conqueror","B","M","0","","0","","1142","80.8%","56.0%","180","","291","","471","","660","53.6%",""
"Skyship Buccaneer","U","U","0","","0","","1678","29.5%","55.9%","281","","468","","749","58.5%","925","53.7%","4.7pp"
"Armasaur Guide","W","C","0","","0","","2256","16.9%","55.9%","375","","532","56.8%","907","55.7%","1350","55.9%","-0.2pp"
"Scrawling Crawler","","R","0","","0","","2009","72.6%","55.8%","391","","475","","866","57.4%","1142","54.7%","2.7pp"
"Prideful Parent","W","C","0","","0","","6232","45.6%","55.8%","1117","53.5%","1434","55.6%","2551","54.7%","3660","56.5%","-1.8pp"
"Heroic Reinforcements","WR","U","0","","0","","1170","20.9%","55.8%","190","","277","","467","","703","54.8%",""
"Mischievous Pup","W","U","0","","0","","1671","31.4%","55.8%","282","","402","","684","53.7%","985","57.2%","-3.5pp"
"Inspiring Paladin","W","C","0","","0","","5651","41.2%","55.8%","983","54.9%","1273","55.2%","2256","55.1%","3393","56.1%","-1.0pp"
"Twinblade Blessing","W","U","0","","0","","712","12.4%","55.8%","118","","161","","279","","432","",""
"Quilled Greatwurm","G","M","0","","0","","1066","76.0%","55.7%","173","","247","","420","","641","55.2%",""
"Arahbo, the First Fang","W","R","0","","0","","1618","64.0%","55.6%","281","","422","","703","59.0%","907","52.8%","6.2pp"
