"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Overlord of the Mistmoors","W","M","6229","1.21","5246","1.19","31574","93.3%","58.9%","5495","68.0%","7792","68.1%","13287","68.0%","18269","52.2%","15.8pp"
"Overlord of the Boilerbilges","R","M","6950","1.37","5502","1.35","32571","92.9%","58.3%","5626","62.8%","7786","65.3%","13412","64.3%","19198","54.2%","10.1pp"
"Valgavoth's Onslaught","G","R","14436","1.42","12129","1.40","73097","95.2%","57.9%","12666","63.5%","18601","67.6%","31267","65.9%","41686","51.8%","14.1pp"
"Midnight Mayhem","WR","U","106548","4.17","28860","4.79","131908","73.5%","57.8%","21834","59.6%","28308","62.5%","50142","61.2%","81738","55.8%","5.5pp"
"Ghostly Dancers","W","R","14842","1.45","10825","1.42","62143","91.1%","57.6%","10460","62.5%","15939","65.7%","26399","64.4%","35732","52.5%","11.9pp"
"Arabella, Abandoned Doll","WR","U","95414","3.86","26196","4.34","124370","76.3%","57.4%","21754","60.6%","26906","58.4%","48660","59.4%","75712","56.1%","3.3pp"
"Tyvar, the Pummeler","G","M","7710","1.49","5327","1.47","30610","91.0%","57.3%","5351","62.2%","7513","63.6%","12864","63.0%","17814","53.2%","9.8pp"
"The Swarmweaver","BG","R","19224","1.89","11794","1.87","65434","88.8%","57.2%","11371","63.4%","16927","65.3%","28298","64.5%","36870","51.5%","13.1pp"
"Optimistic Scavenger","W","U","68137","2.57","26931","2.79","144191","86.4%","57.1%","25719","64.8%","34271","57.6%","59990","60.7%","84090","54.6%","6.1pp"
"Screaming Nemesis","R","M","8295","1.63","5563","1.62","32089","92.0%","57.1%","5744","62.0%","7519","61.6%","13263","61.8%","18915","53.9%","7.9pp"
"Toby, Beastie Befriender","W","R","19226","1.83","10384","1.86","58386","89.9%","57.1%","10296","62.7%","13734","60.6%","24030","61.5%","34194","53.9%","7.5pp"
"Overlord of the Floodpits","U","M","7525","1.47","5355","1.46","30177","90.4%","57.0%","5156","62.0%","8292","63.6%","13448","63.0%","16861","52.4%","10.6pp"
"Splitskin Doll","W","U","83516","3.07","27124","3.61","151242","89.7%","57.0%","27426","58.7%","34681","59.0%","62107","58.9%","88782","55.6%","3.2pp"
"Sheltered by Ghosts","W","U","53086","2.08","25547","2.26","145255","91.5%","57.0%","24481","60.0%","34829","62.9%","59310","61.7%","85876","53.7%","8.0pp"
"Dissection Tools","","R","14470","1.41","12123","1.40","74463","98.8%","56.8%","12559","60.6%","18500","63.6%","31059","62.4%","43327","52.8%","9.6pp"
"Dollmaker's Shop // Porcelain Gallery","W","M","6988","1.40","5238","1.37","29589","90.7%","56.8%","5343","63.2%","7114","62.1%","12457","62.6%","17127","52.6%","9.9pp"
"Unnerving Grasp","U","U","80866","3.04","32569","3.40","180824","89.9%","56.7%","31464","58.6%","48599","61.8%","80063","60.6%","100759","53.7%","6.8pp"
"Unholy Annex // Ritual Chamber","B","R","17341","1.69","10995","1.66","61228","89.2%","56.7%","10772","64.6%","16102","64.9%","26874","64.8%","33938","50.3%","14.5pp"
"Enduring Innocence","W","R","16212","1.59","9999","1.58","55587","90.2%","56.7%","9816","61.4%","13131","58.9%","22947","60.0%","32682","54.3%","5.7pp"
"Irreverent Gremlin","R","U","96520","3.51","30401","4.19","170640","90.4%","56.6%","30849","58.9%","37380","56.3%","68229","57.4%","102373","56.0%","1.4pp"
"Gremlin Tamer","WU","U","81578","3.29","26914","3.58","134231","81.1%","56.6%","23578","61.8%","34863","58.6%","58441","59.9%","75876","54.0%","5.9pp"
"Unidentified Hovership","W","R","19370","1.87","10490","1.89","56250","87.4%","56.5%","9523","60.3%","13332","61.2%","22855","60.8%","33367","53.6%","7.2pp"
"Razorkin Hordecaller","R","U","88898","3.29","30270","3.82","168747","90.0%","56.5%","27341","57.4%","38864","59.6%","66205","58.7%","102822","55.1%","3.6pp"
"Oblivious Bookworm","UG","U","97095","3.72","32246","4.09","154195","77.7%","56.5%","26710","62.6%","41011","58.8%","67721","60.3%","86610","53.5%","6.8pp"
"Fear of Missing Out","R","R","20357","1.91","11471","1.97","65187","91.7%","56.5%","12004","59.8%","14782","59.8%","26786","59.8%","38452","54.2%","5.6pp"
"Fear of Isolation","U","U","79494","2.95","29569","3.37","163758","90.1%","56.5%","28071","56.2%","44369","61.6%","72440","59.5%","91499","54.2%","5.3pp"
"Entity Tracker","U","R","19240","1.86","11259","1.85","63586","91.9%","56.4%","11360","63.8%","17261","60.0%","28621","61.5%","35168","52.3%","9.2pp"
"Wildfire Wickerfolk","RG","U","111630","4.35","27439","5.13","123527","73.1%","56.4%","21650","59.2%","27389","58.6%","49039","58.9%","74512","54.7%","4.2pp"
"Clockwork Percussionist","R","C","355109","5.28","76702","6.79","381864","80.7%","56.3%","68601","58.7%","84041","55.7%","152642","57.0%","229016","55.8%","1.2pp"
"Abhorrent Oculus","U","M","7585","1.49","5368","1.46","30141","91.2%","56.3%","4953","56.7%","8125","61.2%","13078","59.5%","17073","53.8%","5.7pp"
"Turn Inside Out","R","C","370585","5.83","68786","7.87","299086","70.8%","56.3%","47944","56.4%","65656","57.3%","113600","56.9%","185414","55.9%","1.1pp"
"Balustrade Wurm","G","R","16857","1.62","10504","1.62","59268","91.2%","56.2%","9915","56.5%","14867","60.2%","24782","58.7%","34572","54.4%","4.3pp"
"Glimmerlight","","C","364415","5.39","78900","7.19","378222","77.9%","56.2%","68250","56.2%","89125","57.0%","157375","56.6%","220719","55.9%","0.7pp"
"Enduring Curiosity","U","R","17334","1.67","10864","1.67","60332","90.4%","56.2%","10211","61.3%","16392","60.0%","26603","60.5%","33936","52.8%","7.7pp"
"Chainsaw","R","R","19066","1.81","11383","1.84","64897","92.2%","56.2%","11519","60.7%","15223","59.7%","26742","60.1%","38125","53.4%","6.7pp"
"Under the Skin","G","U","78632","2.78","31187","3.17","176209","91.6%","56.2%","30279","57.7%","43771","61.6%","74050","60.0%","102104","53.4%","6.6pp"
"Zimone, All-Questioning","UG","R","23349","2.32","12167","2.29","63569","84.8%","56.1%","11033","65.5%","16361","59.2%","27394","61.7%","36180","51.9%","9.8pp"
"Floodpits Drowner","U","U","83521","3.03","29765","3.55","164489","90.0%","56.1%","29070","55.8%","48622","60.8%","77692","58.9%","90567","53.8%","5.2pp"
"Patchwork Beastie","G","U","101616","3.74","28654","4.47","148921","84.7%","56.0%","26460","60.2%","34298","56.0%","60758","57.8%","88105","54.8%","3.0pp"
"Overlord of the Balemurk","B","M","7651","1.49","5094","1.49","27617","88.3%","56.0%","4923","63.1%","7017","61.4%","11940","62.1%","15641","51.4%","10.6pp"
"Silent Hallcreeper","U","R","17201","1.68","11067","1.68","62537","91.5%","56.0%","11298","63.0%","16669","58.7%","27967","60.5%","34813","52.5%","7.9pp"
"Disturbing Mirth","BR","U","128661","5.16","28824","6.09","108835","61.7%","56.0%","18483","58.0%","26850","61.4%","45333","60.0%","63289","53.2%","6.9pp"
"Piggy Bank","R","U","91333","3.29","29189","3.96","165609","91.9%","56.0%","30017","59.7%","37014","56.0%","67031","57.6%","98688","54.9%","2.7pp"
"Painter's Studio // Defaced Gallery","R","U","105642","3.90","29635","4.68","151664","83.3%","55.9%","26154","55.7%","34319","58.4%","60473","57.2%","90969","55.0%","2.2pp"
